67045001         088428f11800ff00b4
5a055002         0b08ecc0032e010000000000
5a056001         0b08ecc0042e010101000000
5a050020         0908ecc0052ff0240008
5a050021         0908ecc0052ff0240010
5a050022         0908ecc0052ff0240020
5a050023         0908ecc0052ff0240040
5a050024         0908ecc0052ff0240080
5a050025         0a08ecc0062ff024000001
5a050026         0a08ecc0062ff024000000
5a050027         0a08ecc0062ff024000002
5a050028         0a08ecc0062ff024000004
5a050029         0a08ecc0062ff024000008
5a05002a         0a08ecc0062ff024000010
5a05002b         0a08ecc0062ff024000020
5a05002c         0a08ecc0062ff024000040
5a05002d         0a08ecc0062ff024000080
5a05002e         0b08ecc0072ff02400000001
5a05002f         0b08ecc0072ff02400000000
5a050030         0b08ecc0072ff02400000002
5a050031         0b08ecc0072ff02400000004
5a050032         0b08ecc0072ff02400000008
5a050033         0b08ecc0072ff02400000020
5a050034         0b08ecc0072ff02400000040
5a050035         0b08ecc0072ff02400000080
5a050001         10000002000209080322f1890000000009083000000000000000
5a050002         0908ecc0052ff0920100
5a050003         0908ecc0052ff0920200
5a050004         0908ecc0052ff0200101
5a050005         0908ecc0052ff0200100
5a050006         0908ecc0052ff0210100
5a050007         0908ecc0052ff0210101
5a050008         0908ecc0052ff0210102
5a050009         0908ecc0052ff0210200
5a05000a         0908ecc0052ff0210201
5a05000b         0908ecc0052ff0210202
5a05000c         0908ecc0052ff0220101
5a05000d         0908ecc0052ff0220100
5a05000e         0908ecc0052ff0220201
5a05000f         0908ecc0052ff0220200
5a050010         0908ecc0052ff0220401
5a050011         0908ecc0052ff0220400
5a050012         0908ecc0052ff0220301
5a050013         0908ecc0052ff0220300
5a050014         0808ecc0042ff02401
5a050015         0808ecc0042ff02400
5a050016         0808ecc0042ff02404
5a050017         0808ecc0042ff02408
5a050018         0808ecc0042ff02410
5a050019         0808ecc0042ff02420
5a05001a         0808ecc0042ff02440
5a05001b         0808ecc0042ff02480
5a05001c         0908ecc0052ff0240001
5a05001d         0908ecc0052ff0240000
