2703000c         10000002000209080322f1950000000009083000000000000000
2703000d         10000002000209080322f1970000000009083000000000000000
26010101         0f01aa0c020800000322f19000000000
26000102         0b08fc200512000400000000
26000101         0b08fc20041800ff00000000
26000002         0102a0ff07d00908023e010000000000
26000003         10000001000009080120000000000000
26000001         10000001000009080210810000000000
26000006         10000002000209080314ff000000000009083000000000000000
26000007         1000000200020908022170000000000009083000000000000000
26000004         0102000000000908023e010000000000
26000005         1000000200020908041800ff0000000009083000000000000000
2600000a         10000002000209080221a1000000000009083000000000000000
2600000b         10000002000209080221a2000000000009083000000000000000
26000008         1000000200020908022180000000000009083000000000000000
26000009         10000002000209080221a0000000000009083000000000000000
26000202         00fc200227010000000000
26000203         00fc200427020000000000
26000201         00fc200210850000000000
26000206         00fc20023102
26000207         00021081
26000204         00fc20023101
26000205         0eaa0c0208fc20023e010000000000
26000208         000314ff00
26000209         00023104
25100002         0b08e3a00d2ef19d00000000
25100003         1808e3a0142ef1900000000000000000000000000000000000
25100000         10000002000209080322f1980000000009083000000000000000
25100001         10000002000209080322f19d0000000009083000000000000000
25100006         0b08e3a00322f19800000000
25100007         1708e3a0132ef19800000000000000000000000000000000
25100004         0b08e3a00322f19000000000
25100005         0b08e3a00210010000000000
25100008         0b08e3a00322f19d00000000
25000110         0b08e280052f370003004000
25000102         0b08e280052f370003010000
25000103         0b08e280052f370003020000
25000100         0b08e280052f370003000000
25000101         0b08e280042f370000000000
25000106         0b08e280052f370003100000
25000107         0b08e280052f370003200000
25000104         0b08e280052f370003040000
25000105         0b08e280052f370003080000
2500010a         0b08e280052f370003000100
2500010b         0b08e280052f370003000200
25000108         0b08e280052f370003400000
25000109         0b08e280052f370003800000
2500010e         0b08e280052f370003001000
2500010f         0b08e280052f370003002000
2500010c         0b08e280052f370003000400
2500010d         0b08e280052f370003000800
25000012         1000000200020908032207040000000009083000000000000000
25000013         1000000200020908032207060000000009083000000000000000
25000010         1000000200020908032207000000000009083000000000000000
25000011         1000000200020908032207010000000009083000000000000000
25000002         010280ff07d00908023e000000000000
25000003         0102000000000908023e000000000000
25000001         10000001000009080210030000000000
25000006         10000002000209080322f1870000000009083000000000000000
25000007         10000002000209080322f18a0000000009083000000000000000
25000004         1000000200020908031902ab0000000009083000000000000000
25000005         10000002000209080414ffffff00000009083000000000000000
2500000a         10000002000209080322f1a10000000009083000000000000000
2500000b         10000002000209080322f1900000000009083000000000000000
25000008         10000002000209080322f18c0000000009083000000000000000
25000009         10000002000209080322f1950000000009083000000000000000
2500000e         1000000200020908032207030000000009083000000000000000
2500000f         1000000200020908032207050000000009083000000000000000
2500000c         10000002000209080322f1930000000009083000000000000000
2500000d         10000002000209080322f1970000000009083000000000000000
25000202         000431015716
25000203         000431035716
25000200         00042ef1a101
25000201         000322f1a1
24140102         00fc200b2ef1100000000000000000
24140103         00fc20021003
24140101         00fc200322f110
24140106         00fc200322f18c
24140107         00fc200322fed1
24140104         00fc20022701
24140105         00fc20062702
24140108         00fc200322fe10
24170012         1000000200020908032201030000000009083000000000000000
24170013         1000000200020908032201040000000009083000000000000000
24170010         1000000200020908032201010000000009083000000000000000
24170011         1000000200020908032201020000000009083000000000000000
24170014         1000000200020908032201050000000009083000000000000000
24170002         010280ff07d00908023e000000000000
24170003         0102000000000908023e000000000000
24170001         10000001000009080210030000000000
24170006         10000002000209080414ffffff00000009083000000000000000
24170007         10000002000209080322f1870000000009083000000000000000
24170004         1000000200020908031902010000000009083000000000000000
24170005         1000000200020908031902080000000009083000000000000000
2417000a         10000002000209080322f1900000000009083000000000000000
2417000b         10000002000209080322f1930000000009083000000000000000
24170008         10000002000209080322f18a0000000009083000000000000000
24170009         10000002000209080322f18c0000000009083000000000000000
2417000e         10000002000209080322f0100000000009083000000000000000
2417000f         1000000200020908032201000000000009083000000000000000
2417000c         10000002000209080322f1950000000009083000000000000000
2417000d         10000002000209080322f1970000000009083000000000000000
24110103         00fc20022701
24110104         00fc20062702
24110105         00fc20021003
24110032         10000002000209080322013d0000000009083000140000000000
24110033         10000002000209080322013f0000000009083000140000000000
24110030         10000002000209080322013b0000000009083000140000000000
24110031         10000002000209080322013c0000000009083000140000000000
24110036         1000000200020908032201450000000009083000140000000000
24110037         1000000200020908032201460000000009083000140000000000
24110034         1000000200020908032201400000000009083000140000000000
24110035         1000000200020908032201410000000009083000140000000000
2411003a         1000000200020908032201490000000009083000140000000000
2411003b         1000000200020908032201520000000009083000140000000000
24110038         1000000200020908032201470000000009083000140000000000
24110039         1000000200020908032201480000000009083000140000000000
2411003e         1000000200020908032201580000000009083000140000000000
2411003f         10000002000209080322015b0000000009083000140000000000
2411003c         1000000200020908032201560000000009083000140000000000
2411003d         1000000200020908032201570000000009083000140000000000
24110022         1000000200020908032201230000000009083000140000000000
24110023         1000000200020908032201250000000009083000140000000000
24110020         10000002000209080322011e0000000009083000140000000000
24110021         1000000200020908032201200000000009083000140000000000
24110026         1000000200020908032201290000000009083000140000000000
24110027         10000002000209080322012b0000000009083000140000000000
24110024         1000000200020908032201270000000009083000140000000000
24110025         1000000200020908032201280000000009083000140000000000
2411002a         10000002000209080322012f0000000009083000140000000000
2411002b         1000000200020908032201310000000009083000140000000000
24110028         10000002000209080322012c0000000009083000140000000000
24110029         10000002000209080322012d0000000009083000140000000000
2411002e         1000000200020908032201370000000009083000140000000000
2411002f         10000002000209080322013a0000000009083000140000000000
2411002c         1000000200020908032201320000000009083000140000000000
2411002d         1000000200020908032201360000000009083000140000000000
24110012         1000000200020908032201010000000009083000140000000000
24110013         10000002000209080322d0050000000009083000140000000000
24110010         10000002000209080322f1980000000009083000140000000000
24110011         1000000200020908032201000000000009083000140000000000
24110016         1000000200020908032201050000000009083000140000000000
24110017         10000002000209080322d0010000000009083000140000000000
24110014         1000000200020908032201030000000009083000140000000000
24110015         1000000200020908032201040000000009083000140000000000
2411001a         10000002000209080322010b0000000009083000140000000000
2411001b         10000002000209080322010d0000000009083000140000000000
24110018         1000000200020908032201090000000009083000140000000000
24110019         10000002000209080322d0000000000009083000140000000000
2411001e         1000000200020908032201110000000009083000140000000000
2411001f         10000002000209080322011b0000000009083000140000000000
2411001c         10000002000209080322010e0000000009083000140000000000
2411001d         1000000200020908032201100000000009083000140000000000
24110002         010280ff07d00908023e000000000000
24110003         0102000000000908023e000000000000
24110001         10000001000009080210010000000000
24110006         10000002000209080414ffffff00000009083000140000000000
24110007         10000002000209080322f1860000000009083000140000000000
24110004         1000000200020908031902090000000009083000140000000000
24110005         100000020002090802190a000000000009083000140000000000
2411000a         10000002000209080322f18b0000000009083000140000000000
2411000b         10000002000209080322f18c0000000009083000140000000000
24110008         10000002000209080322f1870000000009083000140000000000
24110009         10000002000209080322f18a0000000009083000140000000000
2411000e         10000002000209080322f1940000000009083000140000000000
2411000f         10000002000209080322f1960000000009083000140000000000
2411000c         10000002000209080322f1900000000009083000140000000000
2411000d         10000002000209080322f1920000000009083000140000000000
24110072         0908fc00052f10040301
24110073         0908fc00052f10040300
24110070         0908fc00052f10030300
24110071         0808fc00042f100300
24110076         0908fc00052f10100300
24110077         0808fc00042f101000
24110074         0808fc00042f100400
24110075         0908fc00052f10100301
2411007a         0808fc00042f101100
2411007b         0908fc00052f10120301
24110078         0908fc00052f10110301
24110079         0908fc00052f10110300
2411007c         0808fc00042f101200
24110062         1000000200020908032202320000000009083000140000000000
24110063         1000000200020908032202330000000009083000140000000000
24110060         10000002000209080322017f0000000009083000140000000000
24110061         1000000200020908032202310000000009083000140000000000
24110066         1000000200020908032201aa0000000009083000140000000000
24110067         1000000200020908032201ab0000000009083000140000000000
24110064         1000000200020908032202340000000009083000140000000000
24110065         1000000200020908032201890000000009083000140000000000
2411006a         0908fc00052f10010301
2411006b         0808fc00042f100100
24110068         1000000200020908032201840000000009083000140000000000
24110069         1000000200020908032201850000000009083000140000000000
2411006e         0808fc00042f100200
2411006f         0908fc00052f10030301
2411006c         0908fc00052f10020301
2411006d         0908fc00052f10020300
24110052         1000000200020908022201940000000009083000140000000000
24110053         1000000200020908022201950000000009083000140000000000
24110050         1000000200020908022201920000000009083000140000000000
24110051         1000000200020908022201930000000009083000140000000000
