ffff0104         0b08ffff0227210000000000
00050044         0808e420042f6b2100
00050045         0908e420052f6b220301
00050042         0908e420052f6b210301
00050043         0908e420052f6b210300
00050040         0908e420052f6b200300
00050041         0808e420042f6b2000
0005004e         0908e420052f6b250301
0005004f         0908e420052f6b250300
0005004c         0908e420052f6b240300
0005004d         0808e420042f6b2400
0005004a         0808e420042f6b2300
0005004b         0908e420052f6b240301
00050048         0908e420052f6b230301
00050049         0908e420052f6b230300
00050052         0908e420052f6b260300
00050053         0808e420042f6b2600
00050050         0808e420042f6b2500
00050051         0908e420052f6b260301
00040006         1000000200020908032207030000000009083000000000000000
00040007         1000000200020908032207040000000009083000000000000000
00040004         1000000200020908032207010000000009083000000000000000
00040005         1000000200020908032207020000000009083000000000000000
00040002         1000000200020908061904111213020009083000000000000000
00040003         1000000200020908032207000000000009083000000000000000
00040001         1000000200020908061904111213010009083000000000000000
0004000c         1000000200020908032207090000000009083000000000000000
0004000d         10000002000209080322070a0000000009083000000000000000
0004000a         1000000200020908032207070000000009083000000000000000
0004000b         1000000200020908032207080000000009083000000000000000
00040008         1000000200020908032207050000000009083000000000000000
00040009         1000000200020908032207060000000009083000000000000000
00070006         1000000200020908032205060000000009083000000000000000
00070007         1000000200020908032205070000000009083000000000000000
00070004         1000000200020908032205040000000009083000000000000000
00070005         1000000200020908032205050000000009083000000000000000
00070002         1000000200020908032205020000000009083000000000000000
00070003         1000000200020908032205030000000009083000000000000000
00070001         1000000200020908032205010000000009083000000000000000
0007000e         10000002000209080322050e0000000009083000000000000000
0007000f         10000002000209080322050f0000000009083000000000000000
0007000c         10000002000209080322050c0000000009083000000000000000
0007000d         10000002000209080322050d0000000009083000000000000000
0007000a         10000002000209080322050a0000000009083000000000000000
0007000b         10000002000209080322050b0000000009083000000000000000
00070008         1000000200020908032205080000000009083000000000000000
00070009         1000000200020908032205090000000009083000000000000000
00070016         1000000200020908032205160000000009083000000000000000
00070017         1000000200020908032205170000000009083000000000000000
00070014         1000000200020908032205140000000009083000000000000000
00070015         1000000200020908032205150000000009083000000000000000
00070012         1000000200020908032205120000000009083000000000000000
00070013         1000000200020908032205130000000009083000000000000000
00070010         1000000200020908032205100000000009083000000000000000
00070011         1000000200020908032205110000000009083000000000000000
0007001e         10000002000209080322051e0000000009083000000000000000
0007001f         10000002000209080322051f0000000009083000000000000000
0007001c         10000002000209080322051c0000000009083000000000000000
0007001d         10000002000209080322051d0000000009083000000000000000
0007001a         10000002000209080322051a0000000009083000000000000000
0007001b         10000002000209080322051b0000000009083000000000000000
00070018         1000000200020908032205180000000009083000000000000000
00070019         1000000200020908032205190000000009083000000000000000
00070022         0908fc20052f00100300
00070023         0808fc20042f001000
00070020         1000000200020908032205200000000009083000000000000000
00070021         0908fc20052f00100310
00060006         0908e4a0052f6bc10300
00060007         0808e4a0042f6bc100
00060004         0808e4a0042f6bc000
00060005         0908e4a0052f6bc10301
00060002         0908e4a0052f6bc00301
00060003         0908e4a0052f6bc00300
00060001         1000000200020908032235000000000009083000000000000000
0006000e         0908e4a0052f6bc40301
0006000f         0908e4a0052f6bc40300
0006000c         0908e4a0052f6bc30300
0006000d         0808e4a0042f6bc300
0006000a         0808e4a0042f6bc200
0006000b         0908e4a0052f6bc30301
00060008         0908e4a0052f6bc20301
00060009         0908e4a0052f6bc20300
00060016         0808e4a0042f6bc600
00060017         0908e4a0052f6bc70301
00060014         0908e4a0052f6bc60301
00060015         0908e4a0052f6bc60300
00060012         0908e4a0052f6bc50300
00060013         0808e4a0042f6bc500
00060010         0808e4a0042f6bc400
00060011         0908e4a0052f6bc50301
00060018         0908e4a0052f6bc70300
00060019         0808e4a0042f6bc700
00010006         10000002000209080322f1870000000009083000000000000000
00010007         10000002000209080322f18a0000000009083000000000000000
00010004         1000000200020908031902090000000009083000000000000000
00010005         10000002000209080414ffffff00000009083000000000000000
00010002         0102a0ff03e80908023e000000000000
00010003         0102000000000908023e000000000000
00010001         1000000200020908021001000000000009083000000000000000
0001000e         10000002000209080322f1980000000009083000000000000000
0001000c         10000002000209080322f1900000000009083000000000000000
0001000d         10000002000209080322f18c0000000009083000000000000000
0001000a         10000002000209080322f19d0000000009083000000000000000
0001000b         10000002000209080322f18b0000000009083000000000000000
00010008         10000002000209080322f1930000000009083000000000000000
00010009         10000002000209080322f1950000000009083000000000000000
00030106         0808e280042f5b0601
00030107         0808e280042f5b0701
00030104         0808e280042f5b0401
00030105         0808e280042f5b0501
00030102         0808e280042f5b0201
00030103         0808e280042f5b0301
00030101         0808e280042f5b0101
00030108         0808e280042f5b0801
00030109         0808e280042f5b0901
00030006         1000000200020908032213440000000009083000000000000000
00030007         0808e280042f5b0103
00030004         1000000200020908032213410000000009083000000000000000
00030005         1000000200020908032213420000000009083000000000000000
00030002         1000000200020908032213430000000009083000000000000000
00030003         1000000200020908032213400000000009083000000000000000
00030001         1000000200020908061904111213ff0009083000000000000000
0003000e         0808e280042f5b0400
0003000f         0808e280042f5b0503
0003000c         0808e280042f5b0300
0003000d         0808e280042f5b0403
0003000a         0808e280042f5b0200
0003000b         0808e280042f5b0303
00030008         0808e280042f5b0100
00030009         0808e280042f5b0203
00030016         0808e280042f5b0800
00030017         0808e280042f5b0903
00030014         0808e280042f5b0700
00030015         0808e280042f5b0803
00030012         0808e280042f5b0600
00030013         0808e280042f5b0703
00030010         0808e280042f5b0500
00030011         0808e280042f5b0603
