57670013         1000000200020908032214220000000009083000010000000000
57670012         1000000200020908032214210000000009083000010000000000
57670011         1000000200020908032214200000000009083000010000000000
57670010         1000000200020908032214190000000009083000010000000000
5767001f         0808e2400431015254
5767001e         0e08e2400a2ef11100000000000000
5767001d         0708e2400322f111
5767001c         0e08e2400a2ef11000000000000000
5767001b         0708e2400322f110
5767001a         1000000200020908032214290000000009083000010000000000
57670019         1000000200020908032214280000000009083000010000000000
57670018         1000000200020908032214270000000009083000010000000000
57670007         1000000200020908032214100000000009083000010000000000
57670006         10000002000209080322f1990000000009083000010000000000
57670005         1000000200020908032214500000000009083000010000000000
57670004         1000000200020908032214010000000009083000010000000000
57670003         1000000200020908032214000000000009083000010000000000
57670002         1000000200020908031902af0000000009083000010000000000
57670001         10000001000009080627020abf473b00
5767000f         1000000200020908032214180000000009083000010000000000
5767000e         1000000200020908032214170000000009083000010000000000
5767000d         1000000200020908032214160000000009083000010000000000
5767000c         1000000200020908032214150000000009083000010000000000
5767000b         1000000200020908032214140000000009083000010000000000
5767000a         1000000200020908032214130000000009083000010000000000
57670009         1000000200020908032214120000000009083000010000000000
57670008         1000000200020908032214110000000009083000010000000000
57670022         0808e2400431035255
57670021         0808e2400431015255
57670020         0808e2400431035254
57650006         0808e2600431015270
57650005         0e08e2600a2ef11100000000000000
57650004         0708e2600322f111
57650003         0e08e2600a2ef11000000000000000
57650002         0708e2600322f110
57650001         1000000100000908062702fc6f7f3100
57640017         10000002000209080322cf950000000009083000010000000000
57640016         10000002000209080322cf940000000009083000010000000000
57640015         10000002000209080322cf930000000009083000010000000000
57640014         10000002000209080322cf920000000009083000010000000000
57640013         10000002000209080322cf910000000009083000010000000000
57640012         10000002000209080322cf900000000009083000010000000000
57640011         10000002000209080322cf3f0000000009083000010000000000
57640010         10000002000209080322cf3e0000000009083000010000000000
5764001f         0708e0a00322f111
5764001e         0e08e0a00a2ef11000000000000000
5764001d         0708e0a00322f110
5764001c         10000002000209080322cf9a0000000009083000010000000000
5764001b         10000002000209080322cf990000000009083000010000000000
5764001a         10000002000209080322cf980000000009083000010000000000
57640019         10000002000209080322cf970000000009083000010000000000
57640018         10000002000209080322cf960000000009083000010000000000
57640007         10000002000209080322cf350000000009083000010000000000
57640006         10000002000209080322cf340000000009083000010000000000
57640005         10000002000209080322cf330000000009083000010000000000
57640004         10000002000209080322cf320000000009083000010000000000
57640003         10000002000209080322cf310000000009083000010000000000
57640002         10000002000209080322cf300000000009083000010000000000
57640001         100000010000090806270271088fa800
5764000f         10000002000209080322cf3d0000000009083000010000000000
5764000e         10000002000209080322cf3c0000000009083000010000000000
5764000d         10000002000209080322cf3b0000000009083000010000000000
5764000c         10000002000209080322cf3a0000000009083000010000000000
5764000b         10000002000209080322cf390000000009083000010000000000
5764000a         10000002000209080322cf380000000009083000010000000000
57640009         10000002000209080322cf370000000009083000010000000000
57640008         10000002000209080322cf360000000009083000010000000000
57640020         0e08e0a00a2ef11100000000000000
576a0017         1000000200020908032202220000000009083000010000000000
576a0016         1000000200020908032202210000000009083000010000000000
576a0015         1000000200020908032202200000000009083000010000000000
576a0014         1000000200020908032202190000000009083000010000000000
576a0013         1000000200020908032202180000000009083000010000000000
576a0012         1000000200020908032202170000000009083000010000000000
576a0011         1000000200020908032202160000000009083000010000000000
576a0010         1000000200020908032202150000000009083000010000000000
576a001f         1000000200020908032202300000000009083000010000000000
576a001e         1000000200020908032202290000000009083000010000000000
576a001d         1000000200020908032202280000000009083000010000000000
576a001c         1000000200020908032202270000000009083000010000000000
576a001b         1000000200020908032202260000000009083000010000000000
576a001a         1000000200020908032202250000000009083000010000000000
576a0019         1000000200020908032202240000000009083000010000000000
576a0018         1000000200020908032202230000000009083000010000000000
576a0007         1000000200020908032202060000000009083000010000000000
576a0006         1000000200020908032202050000000009083000010000000000
576a0005         1000000200020908032202040000000009083000010000000000
576a0004         1000000200020908032202030000000009083000010000000000
576a0003         1000000200020908032202020000000009083000010000000000
576a0002         10000002000209080322cf800000000009083000010000000000
576a0001         100000010000090806270230fb823800
576a000f         1000000200020908032202140000000009083000010000000000
576a000e         1000000200020908032202130000000009083000010000000000
576a000d         1000000200020908032202120000000009083000010000000000
576a000c         1000000200020908032202110000000009083000010000000000
576a000b         1000000200020908032202100000000009083000010000000000
576a000a         1000000200020908032202090000000009083000010000000000
576a0009         1000000200020908032202080000000009083000010000000000
576a0008         1000000200020908032202070000000009083000010000000000
576a0027         1000000200020908032202380000000009083000010000000000
576a0026         1000000200020908032202370000000009083000010000000000
576a0025         1000000200020908032202360000000009083000010000000000
576a0024         1000000200020908032202350000000009083000010000000000
576a0023         1000000200020908032202340000000009083000010000000000
576a0022         1000000200020908032202330000000009083000010000000000
576a0021         1000000200020908032202320000000009083000010000000000
576a0020         1000000200020908032202310000000009083000010000000000
576a002f         0e08e0400a2ef11100000000000000
576a002e         0708e0400322f111
576a002d         0e08e0400a2ef11000000000000000
576a002c         0708e0400322f110
576a002b         1000000200020908032202390000000009083000010000000000
576a002a         1000000200020908032202400000000009083000010000000000
576a0029         10000002000209080322f1570000000009083000010000000000
576a0028         10000002000209080322f1580000000009083000010000000000
57690017         100000020002090803221a2c0000000009083000010000000000
57690016         100000020002090803221a2b0000000009083000010000000000
57690015         100000020002090803221a2a0000000009083000010000000000
57690014         100000020002090803221a290000000009083000010000000000
57690013         100000020002090803221a280000000009083000010000000000
57690012         100000020002090803221a230000000009083000010000000000
57690011         100000020002090803221a220000000009083000010000000000
57690010         100000020002090803221a210000000009083000010000000000
5769001f         100000020002090803221a3a0000000009083000010000000000
5769001e         100000020002090803221a390000000009083000010000000000
5769001d         100000020002090803221a380000000009083000010000000000
5769001c         100000020002090803221a320000000009083000010000000000
5769001b         100000020002090803221a310000000009083000010000000000
5769001a         100000020002090803221a300000000009083000010000000000
57690019         100000020002090803221a2e0000000009083000010000000000
57690018         100000020002090803221a2d0000000009083000010000000000
57690007         100000020002090803221a040000000009083000010000000000
57690006         100000020002090803221a030000000009083000010000000000
57690005         100000020002090803221a020000000009083000010000000000
57690004         100000020002090803221a010000000009083000010000000000
57690003         100000020002090803221a000000000009083000010000000000
57690002         100000020002090803221a930000000009083000010000000000
57690001         1000000100000908062702b6e6b28900
5769000f         100000020002090803221a200000000009083000010000000000
5769000e         100000020002090803221a130000000009083000010000000000
5769000d         100000020002090803221a120000000009083000010000000000
5769000c         100000020002090803221a110000000009083000010000000000
5769000b         100000020002090803221a100000000009083000010000000000
5769000a         100000020002090803221a0a0000000009083000010000000000
57690009         100000020002090803221a090000000009083000010000000000
57690008         100000020002090803221a080000000009083000010000000000
57690037         100000020002090803221a8f0000000009083000010000000000
57690036         100000020002090803221a8e0000000009083000010000000000
57690035         100000020002090803221a8d0000000009083000010000000000
57690034         100000020002090803221a8c0000000009083000010000000000
57690033         100000020002090803221a810000000009083000010000000000
57690032         100000020002090803221a800000000009083000010000000000
57690031         100000020002090803221a720000000009083000010000000000
57690030         100000020002090803221a710000000009083000010000000000
5769003e         0e08e4600a2ef11100000000000000
5769003d         0708e4600322f111
5769003c         0e08e4600a2ef11000000000000000
5769003b         0708e4600322f110
